ticker,date,signal_type,gap_pct,vol_ratio,run_pct,green_days,t0_close,t1_close,t5_close,next_day_return,five_day_return,direction,direction_confidence
LC,2021-08-05,frd,,,0.729,6,27.29,26.91,28.91,-0.01392,0.05936,frd,1.0
LC,2021-11-02,frd,,,0.5057,3,46.25,47.04,45.95,0.01708,-0.00649,frd,0.8428209649338005
NEOG,2026-01-08,gap_and_go,0.25203,6.254,,,9.71,9.62,9.46,-0.00927,-0.02575,long,1.0
LAR,2020-10-06,frd,,,1.237,8,5.5515,5.9622,5.3221,0.07397,-0.04133,frd,1.0
LAR,2021-01-11,frd,,,0.6216,7,7.4799,7.6812,10.7971,0.02691,0.44349,frd,1.0
LAR,2021-08-13,frd,,,0.4249,6,7.2021,6.88,6.7109,-0.04472,-0.06819,frd,0.7080854941787817
LAR,2022-03-23,frd,,,0.3304,6,12.9791,14.0097,14.839,0.0794,0.1433,frd,0.5507487254449522
LAR,2023-10-10,frd,,,0.3211,3,7.68,7.08,6.99,-0.07812,-0.08984,frd,0.5352190113248688
LAR,2025-11-20,frd,,,0.3342,6,5.2,4.89,5.56,-0.05962,0.06923,frd,0.5569203928403822
LAR,2026-01-08,frd,,,0.3004,6,7.04,6.98,8.29,-0.00852,0.17756,frd,0.5006104563576105
NCNO,2022-03-03,frd,,,0.305,5,50.15,49.05,50.38,-0.02193,0.00459,frd,0.5083896907958447
CAPR,2020-07-22,frd,,,0.4416,3,6.11,5.97,9.27,-0.02291,0.51718,frd,0.7359307403987666
CAPR,2021-01-26,frd,,,0.4667,3,6.35,5.74,6.59,-0.09606,0.0378,frd,0.7777777172270276
CAPR,2024-09-26,frd,,,1.0721,4,9.99,9.95,17.07,-0.004,0.70871,frd,1.0
CAPR,2024-10-07,frd,,,0.4424,3,18.09,19.33,19.58,0.06855,0.08237,frd,0.737286174594447
CAPR,2025-04-23,frd,,,0.4409,3,13.15,13.28,12.7,0.00989,-0.03422,frd,0.7347855893220666
CAPR,2025-05-16,frd,,,0.5079,4,9.44,10.37,10.25,0.09852,0.08581,frd,0.846477442042977
CAPR,2025-06-09,frd,,,0.4388,5,13.38,13.89,12.38,0.03812,-0.07474,frd,0.7313783364095516
CAPR,2025-06-30,frd,,,0.4518,4,9.93,9.7,10.17,-0.02316,0.02417,frd,0.7530381657448332
CAPR,2025-12-02,frd,,,0.4457,3,6.36,29.96,27.38,3.71069,3.30503,frd,0.7427537076940476
CAPR,2026-03-12,frd,,,0.3165,5,33.42,30.5,31.17,-0.08737,-0.06732,frd,0.5274509604460275
SGRY,2020-07-17,frd,,,0.3018,5,14.61,13.4,15.75,-0.08282,0.07803,frd,0.5029498215123998
